year,machine learning,artificial intelligence,big data,neural network,expert system
2000,1.0475418918964863e-06,3.041475693965623e-06,9.974538587448345e-09,2.899694219848925e-06,6.594985428876043e-07
2001,1.1009029155406582e-06,3.0551217633956182e-06,1.0319433690897384e-08,2.9024406345001803e-06,6.259922754381364e-07
2002,1.1977650217209757e-06,3.0780675291571433e-06,1.0431464405232424e-08,2.974731987848145e-06,6.088055000130765e-07
2003,1.23399459463412e-06,3.0409746581178913e-06,1.1079275905442491e-08,2.9757917912677708e-06,5.867897952300487e-07
2004,1.3095539799858256e-06,2.9720710332169024e-06,1.1485829395720324e-08,2.8744530768319365e-06,5.304726671579679e-07
2005,1.3682647981611799e-06,2.921312384757917e-06,1.129877346148619e-08,2.7404199554683018e-06,5.002711668414657e-07
2006,1.4501242472217001e-06,2.847767861397748e-06,1.2691753552384373e-08,2.680559947724045e-06,4.631369776258205e-07
2007,1.441694341749614e-06,2.677375285666171e-06,1.331630316381679e-08,2.568701023822736e-06,4.2525225188835443e-07
2008,1.5153819786625381e-06,2.573909586039187e-06,2.590929957336071e-08,2.54303676935511e-06,4.195504446715047e-07
2009,1.4943951621873962e-06,2.5536720933416746e-06,7.705785580111589e-08,2.5229648587453213e-06,4.786268881546667e-07
2010,1.5118862525095468e-06,2.5208337974496383e-06,2.589782599824492e-07,2.4642884923764545e-06,5.016637495889954e-07
2011,1.5451929533354708e-06,2.524027661924119e-06,6.382050889296958e-07,2.412402644884943e-06,5.271171360668855e-07
2012,1.6196077094703703e-06,2.4343295441653368e-06,1.1536783891407624e-06,2.3570802604971116e-06,5.069595515129675e-07
2013,1.7999956643929442e-06,2.4344084696029507e-06,1.8410548029265274e-06,2.3736005161367757e-06,5.077445342267189e-07
2014,2.054367027540646e-06,2.4806848351996024e-06,2.59338163182846e-06,2.4407332495408293e-06,5.051810164477136e-07
2015,2.5290300816723947e-06,2.6879672178229238e-06,3.4853862199543272e-06,2.608425793328349e-06,4.865317869536971e-07
2016,3.472561979491116e-06,3.097199546862685e-06,4.4861098290129224e-06,2.9472253006344677e-06,4.066171843992399e-07
2017,3.7890206986782946e-06,3.1819745779001116e-06,5.019059971485737e-06,3.009860176206303e-06,3.717277823704161e-07
2018,4.220543363864237e-06,3.3189280786771746e-06,5.489706040862075e-06,3.203551320041242e-06,3.3478181076240783e-07
2019,4.8093454367847954e-06,3.678436301113308e-06,5.9576189510579525e-06,3.6023265312934427e-06,3.501440509756648e-07
